Depth_modeled,PAR_modeled,Light_measured,PAR_modeled_mean_1_20m,Light_measured_mean_1_20m,Kd_modeled_1_20m,Kd_measured_1_20m,Fluo_measured_mean_1_20m,Tag_ID,Profile,Satellite,N_VALID_PIXELS,CV_RRS,CV_KD490,CV_PAR,SolarAlt,Lat,Lon,Bathy,DOY
25.0,10.13,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
30.0,5.7533,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
35.0,3.76,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
40.0,2.411,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
45.0,1.7041,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
50.0,1.1271,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
55.0,0.7409,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
60.0,0.6054,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
65.0,0.3758,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
70.0,0.3107,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
75.0,0.2134,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
